,SEXE,AGE,OA196_r1,OA196_r2,OA196_r3,OA196_r4,OA196_r5,OA196_r6,OA196_r7
1213,Un homme,66.0,2,1,1,1,1,1,1
1214,Un homme,20.0,2,2,2,2,2,1,2
1215,Un homme,58.0,1,1,1,1,-1,0,1
1216,Un homme,45.0,0,0,0,0,0,0,0
1217,Un homme,62.0,1,1,2,1,1,1,-1
1218,Une femme,84.0,-1,-1,1,1,-1,-1,1
1219,Une femme,77.0,1,-1,0,-1,-1,-1,1
1220,Une femme,33.0,-1,1,1,-1,-2,1,1
1221,Une femme,69.0,1,0,1,1,0,0,1
1222,Un homme,48.0,1,-1,1,1,-1,1,2
1223,Un homme,80.0,2,1,1,-1,-2,2,-1
1224,Une femme,76.0,1,-1,-1,1,1,1,1
1225,Une femme,55.0,1,1,1,1,-1,1,-1
1226,Un homme,68.0,1,-1,-1,-1,-1,-1,1
1227,Une femme,52.0,1,1,2,1,1,1,1
1228,Une femme,26.0,2,2,2,2,2,2,2
1229,Une femme,40.0,2,2,2,0,0,0,0
1230,Une femme,48.0,-1,1,1,1,-1,1,-1
1231,Une femme,52.0,0,0,0,0,0,0,0
1232,Une femme,75.0,2,1,-1,-1,1,1,2
1233,Un homme,44.0,1,1,0,1,2,1,1
1234,Une femme,54.0,1,1,1,-1,-2,2,1
1235,Un homme,35.0,1,1,1,1,-2,-1,1
1236,Un homme,72.0,1,1,0,1,1,1,1
1237,Un homme,64.0,-2,2,2,2,-2,2,2
1238,Un homme,58.0,2,1,1,1,0,1,1
1239,Un homme,49.0,1,1,1,1,1,1,2
1240,Un homme,34.0,1,-1,1,-1,-1,-1,-1
1241,Un homme,40.0,-2,2,2,2,2,2,-2
1242,Un homme,42.0,1,1,1,1,1,2,1
1243,Une femme,57.0,1,1,1,2,-1,1,1
1244,Un homme,66.0,1,-1,2,1,-1,2,1
1245,Une femme,66.0,1,0,-1,0,0,0,0
1246,Une femme,53.0,2,2,2,-2,2,2,2
1247,Un homme,50.0,1,1,1,1,1,1,1
1248,Un homme,24.0,2,1,2,-1,1,2,2
1249,Une femme,45.0,1,1,-1,-1,-1,1,-1
1250,Un homme,71.0,-1,-1,2,2,-2,2,2
1251,Une femme,35.0,1,1,0,-1,0,0,2
1252,Une femme,90.0,2,2,2,-1,-2,1,2
1253,Une femme,75.0,2,0,1,-1,0,1,2
1254,Une femme,23.0,2,1,-1,-1,1,1,1
1255,Un homme,60.0,-1,1,2,1,-2,1,2
1256,Un homme,20.0,0,0,0,0,-1,0,0
1257,Une femme,68.0,2,2,1,2,0,1,1
1258,Une femme,32.0,1,0,1,-1,1,1,0
1259,Un homme,49.0,1,1,1,-1,1,-1,1
1260,Une femme,50.0,1,0,1,1,0,0,1
1261,Un homme,54.0,1,1,1,1,1,2,1
1262,Une femme,43.0,1,2,2,2,2,1,1
1263,Un homme,56.0,1,0,0,0,-2,0,1
1264,Une femme,40.0,1,1,1,1,1,1,1
1265,Une femme,19.0,0,1,0,1,1,1,1
1266,Une femme,35.0,1,1,1,-1,1,2,2
1267,Une femme,38.0,-1,0,1,1,1,0,-1
1268,Une femme,75.0,1,-1,-1,-1,-1,1,1
1269,Un homme,72.0,1,1,1,-1,1,1,1
1270,Une femme,34.0,1,-1,-1,-1,-1,-1,1
1271,Une femme,22.0,0,1,-2,-2,-1,0,2
1272,Un homme,45.0,1,2,0,-1,1,2,2
1273,Un homme,64.0,1,1,1,1,1,-1,1
1274,Un homme,40.0,-1,1,2,1,-1,1,2
1275,Un homme,75.0,1,1,1,-1,-1,1,1
1276,Une femme,75.0,1,1,1,2,2,2,1
1277,Une femme,30.0,0,0,0,0,0,0,0
1278,Un homme,45.0,2,1,1,1,1,1,1
1279,Une femme,30.0,0,-2,1,0,-1,0,-1
1280,Une femme,75.0,2,-1,1,-1,1,1,1
1281,Une femme,76.0,1,1,1,1,0,1,0
1282,Un homme,30.0,1,1,1,-1,-1,1,1
1283,Un homme,24.0,1,1,1,1,2,2,2
1284,Une femme,75.0,1,1,2,2,1,2,2
1285,Une femme,50.0,0,-1,2,-1,-2,1,1
1286,Un homme,46.0,1,-1,1,-1,-1,1,1
1287,Un homme,31.0,1,1,0,1,0,0,1
1288,Une femme,67.0,1,1,1,1,1,1,-1
1289,Une femme,60.0,1,0,0,0,0,1,1
1290,Une femme,54.0,1,0,1,-1,-1,1,1
1291,Une femme,47.0,1,0,0,-1,0,0,1
1292,Une femme,40.0,2,2,2,-1,1,2,1
1293,Un homme,46.0,-2,1,1,2,2,0,-1
1294,Une femme,29.0,0,2,0,1,-1,1,2
1295,Une femme,27.0,-1,-1,2,1,1,1,1
1296,Une femme,49.0,1,1,2,-1,-1,1,2
1297,Un homme,48.0,-1,1,2,-1,-1,1,1
1298,Une femme,31.0,1,1,1,-1,-1,-1,1
1299,Un homme,24.0,-2,2,2,2,-2,-1,1
1300,Une femme,75.0,1,1,2,1,1,2,2
1301,Une femme,37.0,0,0,1,0,0,1,1
1302,Un homme,46.0,2,2,2,2,2,2,2
1303,Une femme,50.0,1,1,1,1,1,1,1
1304,Un homme,29.0,0,1,1,0,-1,1,1
1305,Un homme,49.0,2,1,1,-1,-1,2,1
1306,Un homme,72.0,1,-1,1,2,1,1,1
1307,Une femme,27.0,1,0,1,-2,-1,1,1
1308,Une femme,55.0,0,0,0,0,0,0,0
1309,Une femme,35.0,1,-2,2,2,2,-1,2
1310,Un homme,41.0,1,1,1,1,1,1,1
1311,Une femme,75.0,0,-1,1,1,1,1,1
1312,Un homme,38.0,2,2,-1,-1,1,1,1
1313,Une femme,42.0,2,1,1,-1,-2,1,1
1314,Un homme,81.0,1,2,1,2,1,1,1
1315,Une femme,50.0,-1,1,1,2,1,1,1
1316,Un homme,75.0,1,2,2,1,1,2,1
1317,Une femme,19.0,1,1,0,1,-2,-2,1
1318,Un homme,18.0,2,1,1,-1,2,2,2
1319,Une femme,71.0,1,1,1,1,1,2,2
1320,Une femme,34.0,0,0,0,0,0,0,0
1321,Un homme,42.0,2,1,-1,1,1,1,1
1322,Une femme,61.0,2,-1,1,1,1,2,-1
1323,Un homme,69.0,1,-1,0,-1,-1,-1,1
1324,Une femme,77.0,1,0,0,0,0,0,1
1325,Un homme,67.0,1,2,2,1,2,1,2
1326,Une femme,55.0,1,-1,1,-1,1,1,2
1327,Un homme,45.0,1,-2,-2,-2,-2,-2,1
1328,Une femme,51.0,2,1,1,-2,-1,1,1
1329,Une femme,53.0,1,2,1,-1,2,1,-1
1330,Un homme,62.0,1,2,2,-1,-1,1,1
1331,Un homme,41.0,2,1,1,1,1,2,1
1332,Une femme,39.0,-1,2,2,2,-1,-1,1
1333,Une femme,55.0,0,2,1,1,-2,2,1
1334,Une femme,69.0,0,1,1,1,0,1,1
1335,Un homme,78.0,1,2,-2,-2,1,2,2
1336,Une femme,55.0,1,-2,0,-2,-2,1,1
1337,Un homme,68.0,2,1,-1,-1,-1,1,1
1338,Un homme,60.0,1,-2,2,-2,-2,1,-1
1339,Une femme,27.0,1,-1,1,-2,1,1,-1
1340,Un homme,76.0,2,2,2,1,1,0,2
1341,Une femme,54.0,1,1,2,2,2,1,1
1342,Un homme,48.0,1,0,0,1,1,0,1
1343,Un homme,51.0,1,1,1,-1,-1,1,1
1344,Une femme,68.0,2,2,2,1,1,1,1
1345,Un homme,32.0,1,-1,-1,1,1,1,-1
1346,Une femme,32.0,0,0,-1,0,0,0,-1
1347,Un homme,53.0,1,2,1,1,-1,1,1
1348,Un homme,56.0,-2,-2,2,1,-1,-1,-1
1349,Une femme,59.0,1,1,1,-1,-1,1,1
1350,Une femme,47.0,1,1,1,-1,-1,0,1
1351,Une femme,44.0,1,1,1,1,1,1,1
1352,Un homme,52.0,1,1,-1,1,2,1,1
1353,Un homme,72.0,1,1,1,-1,-1,1,1
1354,Une femme,51.0,1,1,1,-1,1,1,1
1355,Une femme,58.0,-1,1,2,1,1,1,1
1356,Une femme,60.0,0,0,0,0,0,0,0
1357,Une femme,21.0,1,-2,0,1,0,0,-1
1358,Un homme,65.0,2,1,1,1,-1,1,1
1359,Une femme,52.0,2,2,2,1,1,2,1
1360,Une femme,66.0,1,1,1,1,1,1,1
1361,Un homme,24.0,1,1,1,-1,-1,1,0
1362,Une femme,77.0,1,1,2,2,2,2,2
1363,Un homme,32.0,1,1,2,1,1,2,1
1364,Une femme,69.0,1,1,1,1,1,1,2
1365,Une femme,58.0,1,1,1,-1,1,0,1
1366,Une femme,37.0,1,-1,0,1,0,0,0
1367,Une femme,56.0,-1,1,1,1,1,1,0
1368,Une femme,79.0,1,1,1,1,-1,2,1
1369,Un homme,40.0,1,2,2,1,-1,1,2
1370,Un homme,76.0,-1,1,2,1,1,1,1
1371,Une femme,44.0,1,-1,-1,-2,-2,1,1
1372,Un homme,79.0,2,1,1,1,1,1,1
1373,Une femme,75.0,0,0,0,0,0,0,0
1374,Une femme,44.0,1,-1,2,2,-1,2,0
1375,Un homme,46.0,2,-1,2,-1,1,2,2
1376,Un homme,29.0,2,0,0,-1,-1,0,2
1377,Un homme,34.0,-1,2,-1,1,-1,1,1
1378,Une femme,31.0,-1,1,2,1,0,2,2
1379,Une femme,40.0,1,0,0,0,0,0,0
1380,Un homme,19.0,0,0,0,0,0,0,0
1381,Une femme,40.0,2,2,2,1,1,-1,1
1382,Une femme,18.0,-1,-2,2,2,-2,1,-2
1383,Un homme,65.0,-1,1,1,1,1,1,-1
1384,Un homme,23.0,-1,1,-2,-1,-2,-1,1
1385,Un homme,69.0,1,2,2,2,2,2,2
1386,Une femme,60.0,1,-1,2,2,-2,1,1
1387,Une femme,45.0,1,1,-1,1,1,1,1
1388,Une femme,55.0,1,1,0,-1,0,1,1
1389,Une femme,72.0,-2,1,2,1,1,2,2
1390,Une femme,47.0,2,-1,1,-1,1,1,2
1391,Une femme,29.0,2,2,2,1,1,2,1
1392,Une femme,52.0,1,-2,-1,-1,-2,1,2
1393,Un homme,50.0,1,1,1,1,-1,1,2
1394,Une femme,35.0,1,1,1,1,1,1,1
1395,Une femme,32.0,0,0,0,0,0,0,0
1396,Une femme,37.0,-1,1,1,1,-1,1,1
1397,Un homme,23.0,-1,-1,-2,-1,2,-1,-1
1398,Un homme,48.0,2,1,-1,-2,2,1,2
1399,Un homme,24.0,-1,-1,1,-1,-1,1,-1
1400,Une femme,35.0,0,0,1,1,1,1,1
1401,Une femme,30.0,2,-1,2,-1,-2,1,-1
1402,Une femme,56.0,1,2,2,2,0,2,2
1403,Une femme,52.0,1,0,0,0,0,0,1
1404,Une femme,19.0,-1,2,1,-1,-1,2,2
1405,Un homme,47.0,-2,1,2,-2,-1,1,2
1406,Une femme,71.0,1,1,1,1,-1,1,1
1407,Un homme,19.0,2,-1,-1,-2,-2,1,1
1408,Un homme,20.0,2,2,2,2,2,1,1
1409,Une femme,41.0,1,1,2,-1,1,-1,2
1410,Un homme,69.0,0,-1,1,-1,-2,0,-1
1411,Un homme,44.0,1,2,2,1,1,1,2
1412,Un homme,52.0,1,-1,1,-1,-1,-1,-1
1413,Un homme,65.0,1,-1,-1,-1,2,1,1
1414,Un homme,75.0,2,1,2,2,-2,1,0
1415,Un homme,71.0,2,1,1,-1,-1,1,1
1416,Une femme,49.0,1,-1,-1,1,-1,1,1
1417,Une femme,50.0,0,0,0,0,0,0,0
1418,Une femme,22.0,1,1,1,1,1,-1,1
1419,Un homme,49.0,-2,-2,-2,-2,-2,-2,-2
1420,Une femme,34.0,1,-1,2,2,1,2,-1
1421,Une femme,71.0,2,2,2,1,1,1,1
1422,Un homme,55.0,1,1,1,-2,-2,2,1
1423,Un homme,77.0,1,1,1,-1,1,2,2
1424,Une femme,71.0,2,1,2,-1,-1,1,1
1425,Une femme,67.0,1,1,1,1,1,1,1
1426,Une femme,75.0,1,0,0,-1,0,1,1
1427,Un homme,80.0,1,1,2,1,1,1,1
1428,Un homme,33.0,-1,1,2,-1,0,1,1
1429,Un homme,47.0,2,1,1,1,2,2,1
1430,Une femme,51.0,1,-1,2,1,-2,1,2
1431,Une femme,29.0,-1,-1,2,1,1,1,1
1432,Un homme,22.0,-2,-2,2,-1,-1,0,1
1433,Un homme,37.0,1,-1,2,-2,-1,1,1
1434,Un homme,59.0,2,2,2,1,2,2,2
1435,Une femme,45.0,1,1,1,1,1,1,1
1436,Une femme,73.0,2,-1,-1,1,-1,1,1
1437,Une femme,32.0,1,0,1,0,0,0,0
1438,Un homme,52.0,-1,-1,1,1,1,2,1
1439,Un homme,62.0,-1,1,2,2,1,1,2
1440,Un homme,33.0,-1,1,2,-1,-2,2,2
1441,Une femme,48.0,2,1,1,1,0,1,0
1442,Un homme,25.0,-1,1,-1,-1,-2,-1,-1
1443,Un homme,26.0,-1,2,1,2,1,1,-1
1444,Une femme,70.0,-1,1,2,2,1,0,1
1445,Une femme,44.0,1,1,-2,-2,-1,1,-1
1446,Un homme,39.0,1,1,1,1,1,1,1
1447,Une femme,58.0,1,0,1,-1,0,0,0
1448,Une femme,33.0,1,-1,1,-1,-1,1,1
1449,Un homme,45.0,1,1,1,1,1,1,1
1450,Une femme,34.0,2,-1,2,-1,-1,2,-1
1451,Une femme,50.0,1,1,1,1,1,0,0
1452,Un homme,72.0,-1,1,1,2,-1,1,2
1453,Un homme,37.0,-1,0,0,1,0,0,0
1454,Une femme,25.0,-1,-1,-1,-2,-2,1,-1
1455,Une femme,59.0,1,0,0,0,0,0,0
1456,Un homme,52.0,1,1,2,-1,-1,1,1
1457,Un homme,18.0,0,0,0,0,0,0,0
1458,Une femme,28.0,-2,-1,1,1,1,-1,1
1459,Une femme,23.0,1,1,1,-2,-1,1,-1
1460,Un homme,42.0,1,-1,2,1,1,-1,1
1461,Une femme,38.0,2,2,1,1,1,1,1
1462,Un homme,23.0,1,-1,1,-1,-1,-1,-1
1463,Un homme,65.0,-1,-1,2,2,-1,-1,2
1464,Un homme,33.0,-1,0,2,2,0,-2,1
1465,Un homme,29.0,1,-1,-1,1,-1,-1,-1
1466,Un homme,45.0,0,1,1,1,1,1,-1
1467,Un homme,23.0,-1,2,2,0,-2,1,2
1468,Une femme,36.0,-1,0,0,1,1,0,0
1469,Un homme,37.0,-2,1,1,1,1,1,1
1470,Une femme,36.0,0,0,0,2,2,0,0
1471,Une femme,75.0,1,2,2,-2,0,1,2
1472,Une femme,33.0,-1,1,2,1,-2,2,1
1473,Un homme,28.0,1,1,2,-1,1,-1,1
1474,Une femme,43.0,0,0,0,0,0,0,0
1475,Un homme,70.0,-2,1,1,2,-1,1,2
1476,Un homme,65.0,1,-1,0,-1,1,-1,1
1477,Une femme,28.0,1,0,-1,0,1,-1,-1
1478,Un homme,73.0,2,2,2,1,1,2,2
1479,Une femme,75.0,-2,1,-2,-1,-2,-1,2
1480,Un homme,59.0,-1,-1,1,-1,-1,0,-1
1481,Une femme,70.0,1,2,2,-1,1,1,2
1482,Une femme,53.0,1,1,2,0,0,2,0
1483,Une femme,24.0,1,1,0,0,0,1,-1
1484,Une femme,56.0,2,-1,1,-1,0,2,1
1485,Une femme,65.0,1,1,1,-1,1,0,1
1486,Un homme,20.0,2,2,2,2,2,2,2
1487,Une femme,63.0,2,0,0,-1,1,2,1
1488,Un homme,52.0,1,1,1,1,1,1,-1
1489,Une femme,51.0,1,-1,1,1,1,1,1
1490,Une femme,75.0,1,1,0,1,1,1,1
1491,Une femme,44.0,-1,-1,-1,-1,-1,-1,-1
1492,Un homme,41.0,-2,2,2,0,2,2,0
1493,Une femme,34.0,-1,1,0,-1,2,0,2
1494,Un homme,47.0,1,1,2,-1,0,1,0
1495,Un homme,49.0,1,1,1,1,1,1,1
1496,Une femme,49.0,1,1,1,1,-1,1,1
1497,Une femme,46.0,0,2,1,0,0,2,1
1498,Une femme,75.0,0,1,1,0,1,0,0
1499,Un homme,62.0,1,0,1,1,-2,1,1
1500,Un homme,58.0,1,1,2,1,-1,1,2
1501,Une femme,70.0,2,2,2,2,2,2,2
1502,Un homme,46.0,1,1,1,2,-1,1,1
1503,Une femme,50.0,2,1,2,-1,1,2,2
1504,Une femme,38.0,1,1,0,1,1,1,0
1505,Un homme,75.0,1,-2,2,-2,-1,-1,1
1506,Un homme,32.0,-1,1,-1,-1,-1,-1,1
1507,Un homme,52.0,1,1,1,1,1,1,1
1508,Un homme,31.0,1,1,1,-1,0,1,1
1509,Un homme,58.0,1,-2,2,1,-2,1,1
1510,Un homme,75.0,1,2,1,1,1,1,2
1511,Une femme,29.0,1,1,1,-1,-1,-1,-1
1512,Une femme,22.0,0,0,0,0,0,0,0
1513,Un homme,23.0,0,0,0,0,0,0,0
1514,Un homme,65.0,1,1,1,1,1,1,1
1515,Une femme,54.0,-1,1,2,2,-1,0,1
1516,Un homme,40.0,-1,-1,1,1,-1,1,1
1517,Un homme,18.0,1,1,2,2,1,2,1
1518,Une femme,77.0,1,2,2,1,1,2,2
1519,Une femme,51.0,2,1,1,-1,-2,1,1
1520,Un homme,59.0,2,2,2,2,2,2,2
1521,Une femme,19.0,-1,1,2,1,2,2,1
1522,Un homme,48.0,-1,2,2,1,1,1,1
1523,Un homme,49.0,2,-2,-2,-2,-2,-2,1
1524,Un homme,45.0,2,2,1,-2,-2,2,2
1525,Une femme,36.0,1,-1,1,-1,-1,1,-1
1526,Un homme,38.0,2,1,2,-2,1,1,2
1527,Un homme,32.0,2,2,2,2,2,2,2
1528,Une femme,21.0,1,-2,2,1,2,0,2
1529,Une femme,37.0,-1,-1,1,1,-1,-1,1
1530,Un homme,70.0,1,1,2,-1,-1,1,1
1531,Une femme,44.0,2,1,2,1,2,2,2
1532,Une femme,37.0,1,2,1,-1,-1,1,1
1533,Un homme,69.0,2,1,-1,-1,1,1,-1
1534,Un homme,45.0,1,1,1,1,1,1,1
1535,Un homme,35.0,2,2,2,2,2,2,2
1536,Une femme,56.0,0,0,1,0,0,0,0
1537,Une femme,86.0,1,0,1,1,1,1,0
1538,Une femme,75.0,0,0,0,0,0,0,0
1539,Un homme,47.0,1,-1,0,-1,0,1,1
1540,Une femme,32.0,1,1,2,1,1,2,1
1541,Une femme,26.0,0,0,0,0,0,0,0
1542,Une femme,26.0,-1,1,2,1,2,2,1
1543,Une femme,46.0,2,0,2,2,0,2,2
1544,Une femme,76.0,1,-1,1,1,-1,2,1
1545,Un homme,32.0,1,-2,1,1,0,1,-2
1546,Une femme,32.0,1,0,0,0,0,0,1
1547,Une femme,77.0,1,1,1,-1,-1,1,1
1548,Un homme,43.0,1,1,1,-2,-1,2,2
1549,Un homme,52.0,1,-1,1,-1,-2,1,2
1550,Un homme,41.0,1,0,1,-1,-1,-1,0
1551,Un homme,74.0,1,-1,-1,-2,-1,-1,1
1552,Une femme,34.0,0,1,0,1,1,1,1
1553,Une femme,69.0,2,2,2,-2,2,2,2
1554,Un homme,45.0,-1,1,-1,-1,-1,-1,1
1555,Un homme,25.0,0,0,0,0,0,0,0
1556,Une femme,46.0,1,0,1,1,0,0,1
1557,Une femme,75.0,1,1,1,1,0,1,0
1558,Un homme,22.0,2,2,2,2,2,2,2
1559,Un homme,50.0,0,0,0,0,0,0,0
1560,Un homme,47.0,1,1,1,1,-1,1,1
1561,Une femme,49.0,0,0,0,1,1,1,-1
1562,Un homme,64.0,1,1,2,-1,-1,1,-1
1563,Un homme,65.0,-1,-1,-1,-1,-2,1,1
1564,Une femme,32.0,0,-1,1,1,1,0,1
1565,Un homme,34.0,-1,1,2,2,2,1,1
1566,Un homme,59.0,1,1,1,1,1,1,1
1567,Un homme,22.0,1,1,2,1,1,1,-1
1568,Une femme,55.0,1,1,1,1,2,1,1
1569,Un homme,37.0,-1,0,1,-1,1,-2,-2
1570,Un homme,54.0,2,-1,-1,-1,-1,-1,-1
1571,Une femme,59.0,1,1,1,-1,-1,1,1
1572,Un homme,47.0,1,1,1,1,1,1,1
1573,Un homme,29.0,1,2,1,-2,-2,1,2
1574,Une femme,40.0,1,1,-1,-1,-1,1,2
1575,Une femme,63.0,1,1,1,2,1,2,2
1576,Une femme,32.0,1,1,1,-2,-1,-1,1
1577,Un homme,65.0,1,1,2,1,1,1,2
1578,Un homme,62.0,1,1,2,-1,2,2,2
1579,Une femme,36.0,2,-1,-1,1,1,1,1
1580,Un homme,46.0,0,0,0,0,0,0,0
1581,Un homme,19.0,2,1,2,-1,-2,1,1
1582,Un homme,75.0,1,1,2,1,-1,1,2
1583,Un homme,51.0,2,-1,1,-2,-2,-1,-2
1584,Un homme,58.0,1,1,0,1,1,1,1
1585,Un homme,52.0,1,2,1,-2,-1,2,1
1586,Un homme,29.0,1,-1,-1,1,-2,-2,2
1587,Une femme,33.0,2,-1,2,2,1,1,1
1588,Un homme,76.0,-1,2,2,1,-1,1,1
1589,Un homme,80.0,1,-1,1,1,1,-1,1
1590,Un homme,50.0,1,0,1,1,-1,0,1
1591,Une femme,73.0,2,1,2,-2,-1,2,2
1592,Un homme,56.0,1,1,2,1,0,1,1
1593,Un homme,34.0,1,1,0,-1,0,0,0
1594,Une femme,51.0,1,2,-1,1,1,2,2
1595,Un homme,27.0,0,0,0,0,0,0,0
1596,Une femme,31.0,0,0,0,0,0,0,1
1597,Une femme,47.0,1,1,1,1,1,2,1
1598,Un homme,67.0,1,1,1,1,1,1,1
1599,Un homme,27.0,0,1,1,2,-1,1,-1
1600,Une femme,76.0,1,1,2,2,1,-1,1
1601,Une femme,23.0,1,1,-1,1,1,1,2
1602,Un homme,53.0,-1,1,1,1,1,-1,1
1603,Une femme,72.0,0,0,0,0,0,0,0
1604,Une femme,74.0,1,1,1,1,-1,1,1
1605,Une femme,35.0,0,1,2,1,2,0,1
1606,Un homme,23.0,1,-1,-2,2,-1,-1,-1
1607,Une femme,58.0,1,1,0,-1,-1,1,0
1608,Un homme,34.0,2,1,1,2,1,2,1
